"ID";"Title";"Root";"Category";"Release Date";"Price";"Scale";"Barcode";"Status";"Count";"Score";"Payment date";"Shipping date";"Collecting date";"Price";"Shop";"Shipping method";"Tracking number";"Wishability";"Note";"Character"
"1999869";"Final Fantasy VII Rebirth - Cloud Strife - Final Fantasy VII Rebirth Hatsubai Kinen Kuji  (A Prize) (Square Enix)";"Figuras";"Prepainted";"2024-03-02";"800";"";"";"Wished";"1";"";"0000-00-00";"0000-00-00";"0000-00-00";"0.00";"";"n/a";"";"5";"";"Cloud Strife"
"1156510";"Kimetsu no Yaiba - Kamado Nezuko - Kimetsu no Yaiba Figure -Kizuna no Sou-  (Vol.17) (Bandai Spirits)";"Figuras";"Prepainted";"2021-08-26";"0";"";"4983164177442";"Owned";"1";"8/10";"2024-01-08";"2024-01-19";"2024-02-24";"16.60";"AmiAmi";"n/a";"";"0";"";"Kamado Nezuko"
"1436468";"Boku no Hero Academia - Bakugo Katsuki - The  Amazing Heroes  (Special) (Bandai Spirits)";"Figuras";"Prepainted";"2022-05-26";"0";"";"";"Owned";"1";"9/10";"2024-01-08";"2024-01-19";"2024-02-24";"23.24";"AmiAmi";"n/a";"";"0";"";"Bakugo Katsuki"
"822782";"Tensei Shitara Slime Datta Ken - Rimuru Tempest - EXQ Figure - ver.2 (Bandai Spirits)";"Figuras";"Prepainted";"2019-08-09";"0";"";"";"Owned";"1";"8/10";"2024-01-08";"2024-01-19";"2024-02-24";"25.90";"AmiAmi";"n/a";"";"0";"";"Rimuru Tempest"
"1436467";"Boku no Hero Academia - Midoriya Izuku - The  Amazing Heroes  (Special) (Bandai Spirits)";"Figuras";"Prepainted";"2022-05-26";"0";"";"";"Owned";"1";"8/10";"2024-03-16";"0000-00-00";"2024-04-17";"39.55";"AmiAmi";"n/a";"";"0";"";"Midoriya Izuku"
"1195591";"Boku no Hero Academia - Todoroki Shoto - The  Amazing Heroes  (Vol.15) (Bandai Spirits)";"Figuras";"Prepainted";"2021-11-25";"0";"";"";"Owned";"1";"8/10";"2024-03-16";"0000-00-00";"2024-04-17";"26.15";"AmiAmi";"n/a";"";"0";"";"Todoroki Shoto"
"845450";"Kimetsu no Yaiba - Kamado Tanjirou - SPM Figure (SEGA)";"Figuras";"Prepainted";"2020-06-25";"0";"";"";"Wished";"1";"";"0000-00-00";"0000-00-00";"0000-00-00";"0.00";"";"n/a";"";"1";"";"Kamado Tanjirou"
"845452";"Kimetsu no Yaiba - Hashibira Inosuke - SPM Figure (SEGA)";"Figuras";"Prepainted";"2020-08-21";"0";"";"";"Wished";"1";"";"0000-00-00";"0000-00-00";"0000-00-00";"0.00";"";"n/a";"";"1";"";"Hashibira Inosuke"
"1974522";"Wonder Egg Priority - Ohto Ai - Coreful Figure - Nikkori ver. (Taito)";"Figuras";"Prepainted";"2024-03-09";"0";"";"";"Owned";"1";"9/10";"2024-06-17";"2024-06-19";"2024-07-19";"26.83";"AmiAmi";"n/a";"";"0";"";"Ohto Ai"
"1464645";"Kono Subarashii Sekai ni Shukufuku o! - Satou Kazuma - Pop Up Parade (Max Factory)";"Figuras";"Prepainted";"2022-07-27";"3545";"";"4545784043264";"Wished";"1";"";"0000-00-00";"0000-00-00";"0000-00-00";"0.00";"";"n/a";"";"3";"";"Satou Kazuma"
"945881";"Eiga Kono Subarashii Sekai ni Shukufuku o! Kurenai Densetsu - Aqua - Pop Up Parade (Max Factory)";"Figuras";"Prepainted";"2022-11-28";"4364";"";"4545784043363";"Wished";"1";"";"0000-00-00";"0000-00-00";"0000-00-00";"0.00";"";"n/a";"";"4";"";"Aqua"
"945864";"Eiga Kono Subarashii Sekai ni Shukufuku o! Kurenai Densetsu - Dustiness Ford Lalatina - Pop Up Parade (Max Factory)";"Figuras";"Prepainted";"2021-06-23";"3545";"";"4545784042984";"Wished";"1";"";"0000-00-00";"0000-00-00";"0000-00-00";"0.00";"";"n/a";"";"2";"";"Dustiness Ford Lalatina"
"197993";"Kill la Kill - Matoi Ryuuko - Senketsu - Nendoroid  (#407) (Good Smile Company)";"Figuras";"Action/Dolls";"2017-09-26";"3611";"";"4571368443854";"Wished";"1";"";"0000-00-00";"0000-00-00";"0000-00-00";"0.00";"";"n/a";"";"2";"";"Matoi Ryuuko, Senketsu"
"813873";"Zelda no Densetsu: Breath of the Wild - Gou Gou Gaeru - Zelda Hime - Nendoroid  (#1212) - Breath of the Wild Ver. (Good Smile Company)";"Figuras";"Action/Dolls";"2023-12-18";"6182";"";"4580590176041";"Wished";"1";"";"0000-00-00";"0000-00-00";"0000-00-00";"0.00";"";"n/a";"";"1";"";"Gou Gou Gaeru, Zelda Hime"
"1750952";"Ijiranaide, Nagatoro-san 2nd Attack - Nagatoro Hayase - Nendoroid  (#2098) (Good Smile Company)";"Figuras";"Action/Dolls";"2023-10-26";"6182";"";"4580590173811";"Wished";"1";"";"0000-00-00";"0000-00-00";"0000-00-00";"0.00";"";"n/a";"";"1";"";"Nagatoro Hayase"
"1851356";"Boku no Hero Academia - Dabi - The Evil Villains -DX- - II (Bandai Spirits)";"Figuras";"Prepainted";"2023-12-05";"0";"";"";"Wished";"1";"";"0000-00-00";"0000-00-00";"0000-00-00";"0.00";"";"n/a";"";"5";"";"Dabi"
"641151";"Re:Zero kara Hajimeru Isekai Seikatsu - Rem - PM Figure - Curtsey (SEGA)";"Figuras";"Prepainted";"2018-06-22";"0";"";"";"Owned";"1";"8/10";"2024-09-06";"0000-00-00";"2024-09-27";"97.96";"AmiAmi";"n/a";"";"0";"";"Rem"
"641152";"Re:Zero kara Hajimeru Isekai Seikatsu - Ram - PM Figure - Curtsey (SEGA)";"Figuras";"Prepainted";"2018-07-27";"0";"";"";"Owned";"1";"8/10";"2024-09-27";"0000-00-00";"2024-11-01";"75.68";"AmiAmi";"n/a";"";"0";"";"Ram"
"2209689";"Boku no Hero Academia - Toga Himiko - Ichiban Kuji - Ichiban Kuji Boku no Hero Academia Let You Down  (Last One Prize) - Masterlise - Last One Ver. (Bandai Spirits)";"Figuras";"Prepainted";"2024-07-27";"682";"";"";"Wished";"1";"";"0000-00-00";"0000-00-00";"0000-00-00";"0.00";"";"n/a";"";"5";"";"Toga Himiko"
"1851304";"Naruto Shippuuden - Rock Lee - Vibration Stars - II (Bandai Spirits)";"Figuras";"Prepainted";"2023-10-11";"0";"";"";"Owned";"1";"5/10";"2024-08-11";"0000-00-00";"2024-10-18";"29.19";"Buyee";"n/a";"";"0";"";"Rock Lee"
"2175276";"NieR:Automata Ver1.1a - YoRHa No. 2 Type B - Premium Chokonose Figure (SEGA)";"Figuras";"Prepainted";"2024-07-12";"0";"";"4580779542810";"Owned";"1";"10/10";"2024-08-19";"0000-00-00";"2024-10-18";"120.89";"Buyee";"n/a";"";"0";"";"YoRHa No. 2 Type B"
"1826621";"Kono Subarashii Sekai ni Shukufuku o! 3 - Aqua - 1/7 (elCOCO)";"Figuras";"Prepainted";"2024-05-00";"0";"1/7";"4582705280575";"Owned";"1";"8/10";"2024-09-15";"0000-00-00";"2024-10-04";"22.70";"AmiAmi";"n/a";"";"0";"";"Aqua"
"1605141";"Yofukashi no Uta - Nanakusa Nazuna - Luminasta (SEGA)";"Figuras";"Prepainted";"2024-01-19";"0";"";"";"Owned";"1";"10/10";"2024-09-15";"0000-00-00";"0000-00-00";"42.27";"AmiAmi";"n/a";"6afb0";"0";"";"Nanakusa Nazuna"
"2063321";"Overlord - Albedo - BiCute Bunnies (FuRyu)";"Figuras";"Prepainted";"2024-06-15";"0";"";"";"Owned";"1";"10/10";"2024-09-22";"0000-00-00";"2024-11-01";"87.16";"Buyee";"n/a";"";"0";"";"Albedo"
"1087561";"Kimetsu no Yaiba - Kamado Nezuko - Pop Up Parade (Good Smile Company)";"Figuras";"Prepainted";"2021-07-27";"3545";"";"4580416942461";"Owned";"1";"10/10";"0000-00-00";"0000-00-00";"2024-11-01";"2.51";"Buyee";"n/a";"";"0";"";"Kamado Nezuko"
"2247777";"Hatsune Miku Project Diva Mega 39's - Hatsune Miku - Luminasta - Project Diva 15th Ver. (SEGA)";"Figuras";"Prepainted";"2024-09-20";"0";"";"";"Owned";"1";"7/10";"2024-11-01";"2024-11-30";"2024-12-19";"41.75";"Buyee";"n/a";"";"0";"";"Hatsune Miku"
"2288151";"Overlord - Shalltear Bloodfallen - BiCute Bunnies (FuRyu)";"Figuras";"Prepainted";"2024-10-11";"0";"";"";"Owned";"1";"10/10";"2024-11-03";"2024-11-30";"2024-12-19";"25.44";"Buyee";"n/a";"";"0";"";"Shalltear Bloodfallen"
"1697109";"Sono Bisque Doll wa Koi o Suru - Kitagawa Marin - Luminasta - Sparkling, After School (SEGA)";"Figuras";"Prepainted";"2024-02-22";"0";"";"";"Owned";"1";"6/10";"2024-11-03";"2024-11-30";"2024-12-19";"32.11";"Buyee";"n/a";"";"0";"";"Kitagawa Marin"
"1796843";"Shingeki no Kyojin The Final Season - Eren Kyojin - Eren Yeager - Ichiban Kuji - Ichiban Kuji Shingeki no Kyojin ~Jiyuu o Motomete~  (A Prize) - Mega Impact (Bandai Spirits)";"Figuras";"Prepainted";"2023-08-19";"773";"";"";"Wished";"1";"";"0000-00-00";"0000-00-00";"0000-00-00";"0.00";"";"n/a";"";"3";"";"Eren Kyojin, Eren Yeager"
"1724970";"Seishun Buta Yarou wa Odekake Sister no Yume o Minai - Sakurajima Mai - Artist MasterPiece+ - Bunny ver. (Taito)";"Figuras";"Prepainted";"2024-10-12";"0";"";"";"Owned";"1";"10/10";"2024-11-16";"2024-11-30";"2024-12-19";"41.75";"Buyee";"n/a";"";"0";"";"Sakurajima Mai"
"464602";"Zelda no Densetsu: Breath of the Wild - Link - Nendoroid  (#733) - Breath of the Wild ver. (Good Smile Company)";"Figuras";"Action/Dolls";"2020-01-28";"5091";"";"4580416909389";"Wished";"1";"";"0000-00-00";"0000-00-00";"0000-00-00";"0.00";"";"n/a";"";"2";"";"Link"
"2366456";"Dandadan - Ayase Momo - Luminasta - Vol.2 (SEGA)";"Figuras";"Prepainted";"2024-11-29";"0";"";"";"Owned";"1";"10/10";"2024-12-14";"0000-00-00";"2025-01-16";"83.40";"Buyee";"n/a";"";"0";"";"Ayase Momo"
"1429054";"Boku no Hero Academia - Bakugo Katsuki - Ichiban Kuji - Ichiban Kuji Boku no Hero Academia Next Generations!!  (B Prize) (Bandai Spirits, Family Mart)";"Figuras";"Prepainted";"2022-06-11";"618";"";"";"Owned";"1";"10/10";"2024-12-10";"0000-00-00";"2025-01-16";"55.82";"Buyee";"n/a";"";"0";"";"Bakugo Katsuki"
"2364024";"Dandadan - Takakura Ken - Luminasta - Henshin, Vol.2 (SEGA)";"Figuras";"Prepainted";"2024-11-29";"0";"";"";"Owned";"1";"10/10";"2024-12-12";"0000-00-00";"2025-01-16";"86.62";"Buyee";"n/a";"";"0";"";"Takakura Ken"
"2587059";"Good Smile Racing - Hatsune Miku - 1/7 - Racing 2024 Ver. (GOOD SMILE Racing)";"Figuras";"Prepainted";"2026-02-00";"25273";"1/7";"4580590207547";"Wished";"1";"";"0000-00-00";"0000-00-00";"0000-00-00";"0.00";"";"n/a";"";"5";"";"Hatsune Miku"
"2356782";"Zelda no Densetsu: Tears of the Kingdom - Link - Figurizm Alpha (SEGA)";"Figuras";"Prepainted";"2024-12-26";"0";"";"";"Ordered";"1";"";"2024-12-26";"0000-00-00";"0000-00-00";"83.40";"Buyee";"n/a";"";"0";"";"Link"
"1599546";"Original - Art Figure Selection - Katie Moon's Trick or Treat (Kotobukiya)";"Figuras";"Prepainted";"2023-06-26";"18000";"";"4934054045358";"Wished";"1";"";"0000-00-00";"0000-00-00";"0000-00-00";"0.00";"";"n/a";"";"5";"";"Katie Moon's Trick or Treat"
"1851301";"Naruto - Momochi Zabuza - Memorable Saga (Bandai Spirits)";"Figuras";"Prepainted";"2023-11-14";"0";"";"";"Ordered";"1";"";"2025-01-10";"0000-00-00";"0000-00-00";"45.14";"Buyee";"n/a";"";"0";"";"Momochi Zabuza"
"1766521";"Steins;Gate - Makise Kurisu - Coreful Figure (Taito)";"Figuras";"Prepainted";"2024-12-07";"0";"";"";"Ordered";"1";"";"2025-02-08";"0000-00-00";"0000-00-00";"21.46";"Buyee";"n/a";"";"0";"";"Makise Kurisu"
